key,peak,mean,std,slope_up,height_up,width_up,angle_up,slope_down,height_down,width_down,angle_down,variation,cc_avg,cc_std,peak_avg,peak_std,begin,up_start,max,down_start,end,food_item
0914_2018_216_006,75,70.40909091,4.097217358,0.725,12,14,40.60129465,-2.542857143,12,5,67.38013505,12,14,0,75,0,0,0,14,16,21,143 Fried Rice (oyster sauce and onion and 2 eggs and sesame oil)
0913_2018_223_009,83,77.8,4.578209257,2.392857143,14,6,66.80140949,-4,8,2,75.96375653,14,3,8,79,4,14,14,20,21,23,144 Pork Ribs
0912_2018_131_032,71,68.28571429,2.46195542,1.464285714,9,6,56.30993247,-0.464285714,3,6,26.56505118,9,6,0,71,0,0,0,6,7,13,145 Tangsu Mandu
0911_2018_228_002,69,65.72222222,2.375933864,0.6,8,10,38.65980825,-1.171428571,7,5,54.46232221,8,10,0,69,0,15,15,25,27,32,146 Kimchi dumpling and tteokbokki
0910_2018_221_009,75,71.90909091,2.429161676,1.119047619,9,7,52.12501635,-1,3,3,45,12,6.333333333,4.496912521,70,3.741657387,0,12,19,19,22,147 Spicy Pork
0906_2018_235_003,78,73.4,3.292415527,2.7,11,4,70.01689348,-1.6,7,4,60.2551187,15,6,2.943920289,73,4.082482905,0,7,11,12,16,148 Spicy pork
0905_2018_222_013,73,68.8,3.340658618,0.983333333,9,8,48.36646066,-1.266666667,12,8,56.30993247,9,11.5,3.5,68,5,0,0,8,11,19,149 Myulchi Bbokgum and dubu jorim
0904_2018_224_004,71,66.36363636,3.748277841,1.642857143,12,6,63.43494882,-1.5,5,3,59.03624347,12,7.5,1.5,69.5,1.5,0,0,6,7,10,150 Pork don
0903_2018_221_006,87,82.1,3.389690251,0.916666667,13,8,58.39249775,0,0,0,0,18,9,2.160246899,79.66666667,5.185449729,3,22,30,31,31,151 Blue Moon and Pork Belly
0831_2018_233_001,83,80.625,2.287875652,2.2,7,3,66.80140949,-1.5,3,2,56.30993247,21,7,2.943920289,77.66666667,5.557777334,10,28,31,33,35,152 Bonchon Chicken and Beer
0829_2018_219_002,71,67,2.976095237,2,8,4,63.43494882,-4,4,1,75.96375653,8,4,0,71,0,7,7,11,12,13,153 Sukiyaki
0828_2018_224_003,72,68.25,3.230711996,1.316666667,11,8,53.97262661,-0.821428571,5,6,39.80557109,11,8,0,72,0,0,0,8,9,15,154 Jin Ramen
0827_2018_221_009,77,71.3,3.606937759,1.75,12,6,63.43494882,-4,8,2,75.96375653,12,6.5,0.5,75.5,1.5,0,0,6,7,9,155 Beef Pad Kra Pao
0825_2018_217_007,80,75.6,2.727636339,4,8,2,75.96375653,-0.928571429,9,6,56.30993247,9,9.5,3.5,79,1,0,4,6,7,13,156 Daktoritang (not chickend but sujebi and udong) and steamed egg and chicken wings 2pcs
0824_2018_204_015,76,74.09090909,2.502890891,3,6,2,71.56505118,-3.5,7,2,74.0546041,6,7,5,75.5,0.5,10,10,12,18,20,157 Daktoritang
0815_2018_225_005,74,65.05555556,5.451526007,1.071428571,17,14,50.52754015,-14,14,1,85.91438322,17,14,0,74,0,3,3,17,19,20,158 Jin Ramen
0813_2018_224_015,73,70.41666667,1.656217243,0.654761905,6,7,40.60129465,-1,3,3,45,6,7,0,73,0,9,9,16,17,20,159 Dwejigogi suyook
0810_2018_205_001,72,68.3,3.551056181,1.714285714,12,6,63.43494882,-3.5,7,2,74.0546041,12,6,0,72,0,3,3,9,10,12,160 Spicy Ramen
0809_2018_239_000,76,73.83333333,2.034425936,1.5,3,2,56.30993247,-3,6,2,71.56505118,3,2,0,76,0,7,7,9,10,12,161 Roasted Chicken (Whole Foods) cheese sausage pizza
0807_2018_230_001,90,84.125,4.399928977,2.085714286,12,5,67.38013505,-2,2,1,63.43494882,25,11,2,85,5,7,24,29,30,31,162 Garlic Chicken Pizza (CPK) and Beer (Heineken)
0802_2018_218_005,70,68,2.081665999,1.8,6,3,63.43494882,-1.028571429,5,5,45,6,7,4,69.5,0.5,0,0,3,6,11,163 Spicy Ramen
0731_2018_216_003,71,69.6,1.356465997,1.5,3,2,56.30993247,-3,3,1,71.56505118,3,4.5,2.5,70.5,0.5,8,8,10,11,12,164 Beef Dumpling and Bibim Guksu
0725_2018_220_011,76,73.18181818,2.724240739,2.7,8,3,69.44395478,-1.314285714,7,5,54.46232221,8,6,3,74,2,0,0,3,5,10,165 Bulgogi
0716_2018_214_008,81,75.25,3.665719575,2.371428571,12,5,67.38013505,-0.709090909,10,9,48.0127875,12,8.5,3.5,78,3,0,0,5,6,15,166 Bulgogi jeongol
0705_2018_152_026,78,75.55555556,2.79329002,1.2,5,4,51.34019175,-4.5,9,2,77.47119229,8,6.5,3.5,76.5,1.5,3,12,16,18,20,167 Dumpling and fried udon
0702_2018_190_020,75,73.22222222,1.872477727,2.5,5,2,68.19859051,-1.4,4,3,53.13010235,6,5,0,75,0,0,3,5,8,11,168 Pork Belly
0629_2018_212_009,80,75,4,2.771428571,14,5,70.34617594,-0.761904762,6,7,40.60129465,14,5,0,80,0,4,4,9,11,18,169 Dumpling Soup
0622_2018_231_002,85,73.81818182,6.057575,2.142857143,19,7,69.77514057,-9,18,2,83.65980825,19,7.5,0.5,81,4,0,0,7,8,10,170 Spaghetti
0621_2018_222_004,76,73.16666667,2.339278141,2.1,6,3,63.43494882,-4,4,1,75.96375653,9,4.5,2.5,74.5,1.5,17,23,26,27,28,171 Steak
0615_2018_218_017,83,79.42857143,2.920721186,4,8,2,75.96375653,-1.9,6,3,63.43494882,8,2,0,83,0,2,2,4,5,8,172 chicken soup
0528_2018_204_001,76,74.30769231,2.052563702,3,6,2,71.56505118,-0.885714286,5,5,45,6,2,0,76,0,2,2,4,9,14,173 Pizza
0527_2018_239_002,72,69.57142857,1.761261144,3,3,1,71.56505118,-1.2,5,4,51.34019175,4,2.5,1.5,71.5,0.5,2,6,7,8,12,174 chicken soup
0524_2018_229_002,73,71.66666667,1.105541597,1,2,2,45,-1.5,3,2,56.30993247,2,2,0,73,0,5,5,7,8,10,175 Chiken
0517_2018_230_001,70,68.75,1.71391365,4,4,1,75.96375653,-2,4,2,63.43494882,4,6.75,3.960744879,69,0.707106781,2,2,3,7,9,176 Gimbap
